Label,species,taskid,plate_num,object,background,compartment,ilastik_model,capture_datetime,OutFile,elapsed_hours,elapsed_days
At_20251103_014,At,20251103,14,0,5977041,Shoot,/mnt/ibioldata/LBMC_data/cmaslard/ilastik_model/At/At_shoot.ilp,2025-11-03T09:28:23Z,NA,0,0
At_20251103_016,At,20251103,16,0,5977041,Shoot,/mnt/ibioldata/LBMC_data/cmaslard/ilastik_model/At/At_shoot.ilp,2025-11-03T09:28:24Z,NA,0,0
At_20251103_031,At,20251103,31,0,5977041,Shoot,/mnt/ibioldata/LBMC_data/cmaslard/ilastik_model/At/At_shoot.ilp,2025-11-03T09:38:45Z,NA,0,0
At_20251103_021,At,20251103,21,0,5977041,Shoot,/mnt/ibioldata/LBMC_data/cmaslard/ilastik_model/At/At_shoot.ilp,2025-11-03T09:37:18Z,NA,0,0
At_20251103_023,At,20251103,23,2,5977039,Shoot,/mnt/ibioldata/LBMC_data/cmaslard/ilastik_model/At/At_shoot.ilp,2025-11-03T09:37:18Z,NA,0,0
At_20251103_003,At,20251103,3,0,5977041,Shoot,/mnt/ibioldata/LBMC_data/cmaslard/ilastik_model/At/At_shoot.ilp,2025-11-03T09:26:49Z,NA,0,0
At_20251103_024,At,20251103,24,0,5977041,Shoot,/mnt/ibioldata/LBMC_data/cmaslard/ilastik_model/At/At_shoot.ilp,2025-11-03T09:37:19Z,NA,0,0
At_20251103_004,At,20251103,4,0,5977041,Shoot,/mnt/ibioldata/LBMC_data/cmaslard/ilastik_model/At/At_shoot.ilp,2025-11-03T09:26:50Z,NA,0,0
At_20251103_025,At,20251103,25,0,5977041,Shoot,/mnt/ibioldata/LBMC_data/cmaslard/ilastik_model/At/At_shoot.ilp,2025-11-03T09:38:46Z,NA,0,0
At_20251103_017,At,20251103,17,0,5977041,Shoot,/mnt/ibioldata/LBMC_data/cmaslard/ilastik_model/At/At_shoot.ilp,2025-11-03T09:37:15Z,NA,0,0
At_20251103_026,At,20251103,26,25,5977016,Shoot,/mnt/ibioldata/LBMC_data/cmaslard/ilastik_model/At/At_shoot.ilp,2025-11-03T09:38:45Z,NA,0,0
At_20251103_032,At,20251103,32,0,5977041,Shoot,/mnt/ibioldata/LBMC_data/cmaslard/ilastik_model/At/At_shoot.ilp,2025-11-03T09:38:48Z,NA,0,0
At_20251103_020,At,20251103,20,0,5977041,Shoot,/mnt/ibioldata/LBMC_data/cmaslard/ilastik_model/At/At_shoot.ilp,2025-11-03T09:37:17Z,NA,0,0
At_20251103_029,At,20251103,29,0,5977041,Shoot,/mnt/ibioldata/LBMC_data/cmaslard/ilastik_model/At/At_shoot.ilp,2025-11-03T09:38:45Z,NA,0,0
At_20251103_002,At,20251103,2,1608,5975433,Shoot,/mnt/ibioldata/LBMC_data/cmaslard/ilastik_model/At/At_shoot.ilp,2025-11-03T09:26:54Z,NA,0,0
At_20251103_008,At,20251103,8,1,5977040,Shoot,/mnt/ibioldata/LBMC_data/cmaslard/ilastik_model/At/At_shoot.ilp,2025-11-03T09:26:56Z,NA,0,0
At_20251103_001,At,20251103,1,1,5977040,Shoot,/mnt/ibioldata/LBMC_data/cmaslard/ilastik_model/At/At_shoot.ilp,2025-11-03T09:26:51Z,NA,0,0
At_20251103_030,At,20251103,30,0,5977041,Shoot,/mnt/ibioldata/LBMC_data/cmaslard/ilastik_model/At/At_shoot.ilp,2025-11-03T09:38:46Z,NA,0,0
At_20251103_028,At,20251103,28,0,5977041,Shoot,/mnt/ibioldata/LBMC_data/cmaslard/ilastik_model/At/At_shoot.ilp,2025-11-03T09:38:44Z,NA,0,0
At_20251103_022,At,20251103,22,0,5977041,Shoot,/mnt/ibioldata/LBMC_data/cmaslard/ilastik_model/At/At_shoot.ilp,2025-11-03T09:37:18Z,NA,0,0
At_20251103_005,At,20251103,5,0,5977041,Shoot,/mnt/ibioldata/LBMC_data/cmaslard/ilastik_model/At/At_shoot.ilp,2025-11-03T09:26:56Z,NA,0,0
At_20251103_013,At,20251103,13,0,5977041,Shoot,/mnt/ibioldata/LBMC_data/cmaslard/ilastik_model/At/At_shoot.ilp,2025-11-03T09:28:25Z,NA,0,0
At_20251103_010,At,20251103,10,28,5977013,Shoot,/mnt/ibioldata/LBMC_data/cmaslard/ilastik_model/At/At_shoot.ilp,2025-11-03T09:28:22Z,NA,0,0
